"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Delete exercise","LMS service","Sun Feb 22 16:06:53 UTC 2026","passed","Sun Feb 22 16:06:53 UTC 2026","Delete entity","Exercises","",""
"","19","Delete file","LMS service","Sun Feb 22 16:06:56 UTC 2026","passed","Sun Feb 22 16:06:56 UTC 2026","Delete entity","Files","",""
"","34","Get courses","LMS service","Sun Feb 22 16:06:50 UTC 2026","passed","Sun Feb 22 16:06:50 UTC 2026","Get entities","Courses","",""
"","527","Create user","LMS service","Sun Feb 22 16:06:56 UTC 2026","passed","Sun Feb 22 16:06:57 UTC 2026","Create entity","Users","",""
"","28","Create course","LMS service","Sun Feb 22 16:06:50 UTC 2026","passed","Sun Feb 22 16:06:50 UTC 2026","Create entity","Courses","",""
"","274","Get file","LMS service","Sun Feb 22 16:06:54 UTC 2026","passed","Sun Feb 22 16:06:55 UTC 2026","Get entity","Files","",""
"","525","Login with correct email and password","LMS service","Sun Feb 22 16:06:48 UTC 2026","passed","Sun Feb 22 16:06:49 UTC 2026","Login","Authentication","",""
"","33","Update course","LMS service","Sun Feb 22 16:06:49 UTC 2026","passed","Sun Feb 22 16:06:49 UTC 2026","Update entity","Courses","",""
"","21","Update exercise","LMS service","Sun Feb 22 16:06:52 UTC 2026","passed","Sun Feb 22 16:06:52 UTC 2026","Update entity","Exercises","",""
"","256","Create file with empty directory","LMS service","Sun Feb 22 16:06:55 UTC 2026","passed","Sun Feb 22 16:06:55 UTC 2026","Validate entity","Files","",""
"","248","Get file with incorrect file id","LMS service","Sun Feb 22 16:06:56 UTC 2026","passed","Sun Feb 22 16:06:56 UTC 2026","Validate entity","Files","",""
"","18","Create exercise","LMS service","Sun Feb 22 16:06:51 UTC 2026","passed","Sun Feb 22 16:06:51 UTC 2026","Create entity","Exercises","",""
"","22","Create file","LMS service","Sun Feb 22 16:06:53 UTC 2026","passed","Sun Feb 22 16:06:53 UTC 2026","Create entity","Files","",""
"","48","Get exercises","LMS service","Sun Feb 22 16:06:52 UTC 2026","passed","Sun Feb 22 16:06:52 UTC 2026","Get entities","Exercises","",""
"","21","Get exercise","LMS service","Sun Feb 22 16:06:51 UTC 2026","passed","Sun Feb 22 16:06:51 UTC 2026","Get entity","Exercises","",""
"","11","Get user me","LMS service","Sun Feb 22 16:06:57 UTC 2026","passed","Sun Feb 22 16:06:57 UTC 2026","Get entity","Users","",""
"","243","Create file with empty filename","LMS service","Sun Feb 22 16:06:54 UTC 2026","passed","Sun Feb 22 16:06:54 UTC 2026","Validate entity","Files","",""
"","275","Create user","LMS service","Sun Feb 22 16:06:56 UTC 2026","passed","Sun Feb 22 16:06:57 UTC 2026","Create entity","Users","",""
"","504","Create user","LMS service","Sun Feb 22 16:06:56 UTC 2026","passed","Sun Feb 22 16:06:56 UTC 2026","Create entity","Users","",""
