"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Create file","LMS service","Mon Feb 23 16:20:11 UTC 2026","passed","Mon Feb 23 16:20:11 UTC 2026","Create entity","Files","",""
"","15","Create file with empty filename","LMS service","Mon Feb 23 16:20:12 UTC 2026","passed","Mon Feb 23 16:20:12 UTC 2026","Validate entity","Files","",""
"","12","Get user me","LMS service","Mon Feb 23 16:20:16 UTC 2026","passed","Mon Feb 23 16:20:16 UTC 2026","Get entity","Users","",""
"","563","Create user","LMS service","Mon Feb 23 16:20:14 UTC 2026","passed","Mon Feb 23 16:20:15 UTC 2026","Create entity","Users","",""
"","23","Update exercise","LMS service","Mon Feb 23 16:20:10 UTC 2026","passed","Mon Feb 23 16:20:10 UTC 2026","Update entity","Exercises","",""
"","287","Create exercise","LMS service","Mon Feb 23 16:20:09 UTC 2026","passed","Mon Feb 23 16:20:09 UTC 2026","Create entity","Exercises","",""
"","284","Get exercise","LMS service","Mon Feb 23 16:20:08 UTC 2026","passed","Mon Feb 23 16:20:09 UTC 2026","Get entity","Exercises","",""
"","548","Create user","LMS service","Mon Feb 23 16:20:14 UTC 2026","passed","Mon Feb 23 16:20:14 UTC 2026","Create entity","Users","",""
"","269","Get file with incorrect file id","LMS service","Mon Feb 23 16:20:14 UTC 2026","passed","Mon Feb 23 16:20:14 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Mon Feb 23 16:20:06 UTC 2026","passed","Mon Feb 23 16:20:07 UTC 2026","Update entity","Courses","",""
"","259","Create file with empty directory","LMS service","Mon Feb 23 16:20:13 UTC 2026","passed","Mon Feb 23 16:20:13 UTC 2026","Validate entity","Files","",""
"","28","Create course","LMS service","Mon Feb 23 16:20:08 UTC 2026","passed","Mon Feb 23 16:20:08 UTC 2026","Create entity","Courses","",""
"","16","Get file","LMS service","Mon Feb 23 16:20:12 UTC 2026","passed","Mon Feb 23 16:20:12 UTC 2026","Get entity","Files","",""
"","30","Get courses","LMS service","Mon Feb 23 16:20:07 UTC 2026","passed","Mon Feb 23 16:20:07 UTC 2026","Get entities","Courses","",""
"","291","Get exercises","LMS service","Mon Feb 23 16:20:10 UTC 2026","passed","Mon Feb 23 16:20:10 UTC 2026","Get entities","Exercises","",""
"","298","Delete file","LMS service","Mon Feb 23 16:20:13 UTC 2026","passed","Mon Feb 23 16:20:14 UTC 2026","Delete entity","Files","",""
"","562","Create user","LMS service","Mon Feb 23 16:20:14 UTC 2026","passed","Mon Feb 23 16:20:15 UTC 2026","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Mon Feb 23 16:20:06 UTC 2026","passed","Mon Feb 23 16:20:06 UTC 2026","Login","Authentication","",""
"","296","Delete exercise","LMS service","Mon Feb 23 16:20:11 UTC 2026","passed","Mon Feb 23 16:20:11 UTC 2026","Delete entity","Exercises","",""
