"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","Create user","LMS service","Thu Feb 19 08:58:19 UTC 2026","passed","Thu Feb 19 08:58:19 UTC 2026","Create entity","Users","",""
"","293","Delete exercise","LMS service","Thu Feb 19 08:58:16 UTC 2026","passed","Thu Feb 19 08:58:16 UTC 2026","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Thu Feb 19 08:58:21 UTC 2026","passed","Thu Feb 19 08:58:21 UTC 2026","Get entity","Users","",""
"","285","Get exercise","LMS service","Thu Feb 19 08:58:13 UTC 2026","passed","Thu Feb 19 08:58:14 UTC 2026","Get entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Thu Feb 19 08:58:18 UTC 2026","passed","Thu Feb 19 08:58:18 UTC 2026","Validate entity","Files","",""
"","302","Update course","LMS service","Thu Feb 19 08:58:12 UTC 2026","passed","Thu Feb 19 08:58:12 UTC 2026","Update entity","Courses","",""
"","305","Get courses","LMS service","Thu Feb 19 08:58:12 UTC 2026","passed","Thu Feb 19 08:58:12 UTC 2026","Get entities","Courses","",""
"","557","Create user","LMS service","Thu Feb 19 08:58:19 UTC 2026","passed","Thu Feb 19 08:58:20 UTC 2026","Create entity","Users","",""
"","14","Create file with empty filename","LMS service","Thu Feb 19 08:58:17 UTC 2026","passed","Thu Feb 19 08:58:17 UTC 2026","Validate entity","Files","",""
"","287","Create exercise","LMS service","Thu Feb 19 08:58:14 UTC 2026","passed","Thu Feb 19 08:58:14 UTC 2026","Create entity","Exercises","",""
"","17","Create file","LMS service","Thu Feb 19 08:58:16 UTC 2026","passed","Thu Feb 19 08:58:16 UTC 2026","Create entity","Files","",""
"","31","Create course","LMS service","Thu Feb 19 08:58:13 UTC 2026","passed","Thu Feb 19 08:58:13 UTC 2026","Create entity","Courses","",""
"","15","Get file","LMS service","Thu Feb 19 08:58:17 UTC 2026","passed","Thu Feb 19 08:58:17 UTC 2026","Get entity","Files","",""
"","291","Create user","LMS service","Thu Feb 19 08:58:19 UTC 2026","passed","Thu Feb 19 08:58:20 UTC 2026","Create entity","Users","",""
"","258","Get file with incorrect file id","LMS service","Thu Feb 19 08:58:19 UTC 2026","passed","Thu Feb 19 08:58:19 UTC 2026","Validate entity","Files","",""
"","297","Delete file","LMS service","Thu Feb 19 08:58:18 UTC 2026","passed","Thu Feb 19 08:58:19 UTC 2026","Delete entity","Files","",""
"","21","Update exercise","LMS service","Thu Feb 19 08:58:15 UTC 2026","passed","Thu Feb 19 08:58:15 UTC 2026","Update entity","Exercises","",""
"","313","Get exercises","LMS service","Thu Feb 19 08:58:15 UTC 2026","passed","Thu Feb 19 08:58:15 UTC 2026","Get entities","Exercises","",""
"","287","Login with correct email and password","LMS service","Thu Feb 19 08:58:11 UTC 2026","passed","Thu Feb 19 08:58:11 UTC 2026","Login","Authentication","",""
