"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Delete file","LMS service","Thu Feb 19 10:20:07 UTC 2026","passed","Thu Feb 19 10:20:07 UTC 2026","Delete entity","Files","",""
"","275","Create user","LMS service","Thu Feb 19 10:20:08 UTC 2026","passed","Thu Feb 19 10:20:08 UTC 2026","Create entity","Users","",""
"","25","Get courses","LMS service","Thu Feb 19 10:20:01 UTC 2026","passed","Thu Feb 19 10:20:01 UTC 2026","Get entities","Courses","",""
"","243","Create file with empty directory","LMS service","Thu Feb 19 10:20:07 UTC 2026","passed","Thu Feb 19 10:20:07 UTC 2026","Validate entity","Files","",""
"","528","Create user","LMS service","Thu Feb 19 10:20:08 UTC 2026","passed","Thu Feb 19 10:20:08 UTC 2026","Create entity","Users","",""
"","272","Login with correct email and password","LMS service","Thu Feb 19 10:20:00 UTC 2026","passed","Thu Feb 19 10:20:00 UTC 2026","Login","Authentication","",""
"","17","Create file","LMS service","Thu Feb 19 10:20:05 UTC 2026","passed","Thu Feb 19 10:20:05 UTC 2026","Create entity","Files","",""
"","254","Get file with incorrect file id","LMS service","Thu Feb 19 10:20:08 UTC 2026","passed","Thu Feb 19 10:20:08 UTC 2026","Validate entity","Files","",""
"","282","Get exercises","LMS service","Thu Feb 19 10:20:03 UTC 2026","passed","Thu Feb 19 10:20:04 UTC 2026","Get entities","Exercises","",""
"","268","Get exercise","LMS service","Thu Feb 19 10:20:02 UTC 2026","passed","Thu Feb 19 10:20:02 UTC 2026","Get entity","Exercises","",""
"","517","Create user","LMS service","Thu Feb 19 10:20:07 UTC 2026","passed","Thu Feb 19 10:20:08 UTC 2026","Create entity","Users","",""
"","19","Update exercise","LMS service","Thu Feb 19 10:20:04 UTC 2026","passed","Thu Feb 19 10:20:04 UTC 2026","Update entity","Exercises","",""
"","12","Get user me","LMS service","Thu Feb 19 10:20:09 UTC 2026","passed","Thu Feb 19 10:20:09 UTC 2026","Get entity","Users","",""
"","15","Create file with empty filename","LMS service","Thu Feb 19 10:20:06 UTC 2026","passed","Thu Feb 19 10:20:06 UTC 2026","Validate entity","Files","",""
"","29","Create course","LMS service","Thu Feb 19 10:20:01 UTC 2026","passed","Thu Feb 19 10:20:02 UTC 2026","Create entity","Courses","",""
"","292","Update course","LMS service","Thu Feb 19 10:20:00 UTC 2026","passed","Thu Feb 19 10:20:01 UTC 2026","Update entity","Courses","",""
"","273","Create exercise","LMS service","Thu Feb 19 10:20:02 UTC 2026","passed","Thu Feb 19 10:20:03 UTC 2026","Create entity","Exercises","",""
"","14","Get file","LMS service","Thu Feb 19 10:20:06 UTC 2026","passed","Thu Feb 19 10:20:06 UTC 2026","Get entity","Files","",""
"","280","Delete exercise","LMS service","Thu Feb 19 10:20:04 UTC 2026","passed","Thu Feb 19 10:20:05 UTC 2026","Delete entity","Exercises","",""
