"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create exercise","LMS service","Thu Feb 19 09:43:46 UTC 2026","passed","Thu Feb 19 09:43:46 UTC 2026","Create entity","Exercises","",""
"","285","Get exercise","LMS service","Thu Feb 19 09:43:45 UTC 2026","passed","Thu Feb 19 09:43:46 UTC 2026","Get entity","Exercises","",""
"","27","Get courses","LMS service","Thu Feb 19 09:43:44 UTC 2026","passed","Thu Feb 19 09:43:44 UTC 2026","Get entities","Courses","",""
"","261","Create file with empty filename","LMS service","Thu Feb 19 09:43:49 UTC 2026","passed","Thu Feb 19 09:43:49 UTC 2026","Validate entity","Files","",""
"","22","Update exercise","LMS service","Thu Feb 19 09:43:47 UTC 2026","passed","Thu Feb 19 09:43:47 UTC 2026","Update entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Thu Feb 19 09:43:50 UTC 2026","passed","Thu Feb 19 09:43:50 UTC 2026","Validate entity","Files","",""
"","288","Create user","LMS service","Thu Feb 19 09:43:51 UTC 2026","passed","Thu Feb 19 09:43:52 UTC 2026","Create entity","Users","",""
"","31","Create course","LMS service","Thu Feb 19 09:43:45 UTC 2026","passed","Thu Feb 19 09:43:45 UTC 2026","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Thu Feb 19 09:43:51 UTC 2026","passed","Thu Feb 19 09:43:51 UTC 2026","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Thu Feb 19 09:43:43 UTC 2026","passed","Thu Feb 19 09:43:43 UTC 2026","Login","Authentication","",""
"","15","Get user me","LMS service","Thu Feb 19 09:43:52 UTC 2026","passed","Thu Feb 19 09:43:52 UTC 2026","Get entity","Users","",""
"","563","Create user","LMS service","Thu Feb 19 09:43:51 UTC 2026","passed","Thu Feb 19 09:43:52 UTC 2026","Create entity","Users","",""
"","321","Get exercises","LMS service","Thu Feb 19 09:43:47 UTC 2026","passed","Thu Feb 19 09:43:47 UTC 2026","Get entities","Exercises","",""
"","23","Create file","LMS service","Thu Feb 19 09:43:48 UTC 2026","passed","Thu Feb 19 09:43:48 UTC 2026","Create entity","Files","",""
"","308","Update course","LMS service","Thu Feb 19 09:43:43 UTC 2026","passed","Thu Feb 19 09:43:44 UTC 2026","Update entity","Courses","",""
"","28","Delete exercise","LMS service","Thu Feb 19 09:43:48 UTC 2026","passed","Thu Feb 19 09:43:48 UTC 2026","Delete entity","Exercises","",""
"","16","Get file","LMS service","Thu Feb 19 09:43:49 UTC 2026","passed","Thu Feb 19 09:43:49 UTC 2026","Get entity","Files","",""
"","548","Create user","LMS service","Thu Feb 19 09:43:51 UTC 2026","passed","Thu Feb 19 09:43:51 UTC 2026","Create entity","Users","",""
"","294","Delete file","LMS service","Thu Feb 19 09:43:50 UTC 2026","passed","Thu Feb 19 09:43:51 UTC 2026","Delete entity","Files","",""
